command_target_rad,delta_z_from_home_m,end_effector_x_m,end_effector_y_m,end_effector_z_m,frame,isaac_dof_index,joint,joint_readback_rad,joint_velocity_rad_s,phase,position_error_rad,repeat,robot,simulation_time_s
-1.04,-0.0006285011768341064,-0.3177016079425812,-0.019022123888134956,0.31386786699295044,1,1,shoulder,-0.9598153233528137,0.1411081850528717,small_up,-0.08018467664718631,0,follower_left,0.016666666666666666
-1.04,-0.0006286203861236572,0.3177018165588379,-0.018977878615260128,0.3138677179813385,1,1,shoulder,-0.9598153829574585,0.14110639691352844,small_up,-0.08018461704254154,0,follower_right,0.016666666666666666
-1.04,-0.00015938282012939453,-0.31772735714912415,-0.01902441680431366,0.31433698534965515,2,1,shoulder,-0.960099458694458,-0.002113563008606434,small_up,-0.07990054130554203,0,follower_left,0.03333333333333333
-1.04,-0.00015932321548461914,0.31772735714912415,-0.018975626677274707,0.31433701515197754,2,1,shoulder,-0.9600995182991028,-0.002113575814291835,small_up,-0.07990048170089725,0,follower_right,0.03333333333333333
-1.04,0.0002773106098175049,-0.3178170621395111,-0.019021524116396904,0.31477367877960205,3,1,shoulder,-0.9607343673706055,0.07248564064502716,small_up,-0.07926563262939457,0,follower_left,0.05
-1.04,0.0002773702144622803,0.3178170621395111,-0.01897845789790154,0.31477370858192444,3,1,shoulder,-0.9607344269752502,0.0724855363368988,small_up,-0.07926557302474979,0,follower_right,0.05
-1.04,0.00013890862464904785,-0.3179052472114563,-0.019020698964595795,0.3146352767944336,4,1,shoulder,-0.9610026478767395,0.03544188290834427,small_up,-0.07899735212326053,0,follower_left,0.06666666666666667
-1.04,0.00013893842697143555,0.3179051876068115,-0.018979342654347423,0.3146352767944336,4,1,shoulder,-0.9610027074813843,0.03544853627681732,small_up,-0.07899729251861576,0,follower_right,0.06666666666666667
-1.04,0.00014251470565795898,-0.3179892897605896,-0.019020985811948776,0.3146388828754425,5,1,shoulder,-0.9615679979324341,0.06446467339992523,small_up,-0.07843200206756595,0,follower_left,0.08333333333333333
-1.04,0.00014260411262512207,0.3179893493652344,-0.018979026004672054,0.3146389424800873,5,1,shoulder,-0.9615681171417236,0.06446550786495209,small_up,-0.0784318828582764,0,follower_right,0.08333333333333333
-1.04,0.0003361999988555908,-0.31811225414276123,-0.019021278247237206,0.31483256816864014,6,1,shoulder,-0.9622980356216431,0.023533597588539124,small_up,-0.07770196437835697,0,follower_left,0.1
-1.04,0.0003361999988555908,0.3181122839450836,-0.01897872425615788,0.31483253836631775,6,1,shoulder,-0.9622980952262878,0.023530855774879456,small_up,-0.0777019047737122,0,follower_right,0.1
-1.04,0.0005542635917663574,-0.3182508647441864,-0.019020607694983482,0.3150506317615509,7,1,shoulder,-0.963138222694397,0.055376969277858734,small_up,-0.07686177730560306,0,follower_left,0.11666666666666667
-1.04,0.0005543529987335205,0.3182508647441864,-0.018979432061314586,0.3150506913661957,7,1,shoulder,-0.9631382822990417,0.05537659302353859,small_up,-0.07686171770095829,0,follower_right,0.11666666666666667
-1.04,0.0006355643272399902,-0.31839892268180847,-0.019020212814211845,0.31513193249702454,8,1,shoulder,-0.963994562625885,0.03787841647863388,small_up,-0.07600543737411503,0,follower_left,0.13333333333333333
-1.04,0.0006355941295623779,0.3183988928794861,-0.018979866057634357,0.31513193249702454,8,1,shoulder,-0.9639946222305298,0.03787888586521149,small_up,-0.07600537776947025,0,follower_right,0.13333333333333333
-1.04,0.0007091760635375977,-0.31856977939605713,-0.019020354375243187,0.31520554423332214,9,1,shoulder,-0.9650053381919861,0.055022500455379486,small_up,-0.07499466180801395,0,follower_left,0.15
-1.04,0.0007091760635375977,0.31856992840766907,-0.018979679793119434,0.31520551443099976,9,1,shoulder,-0.9650053977966309,0.055022917687892914,small_up,-0.07499460220336918,0,follower_right,0.15
-1.04,0.0008921325206756592,-0.31874457001686096,-0.019020479172468185,0.3153885006904602,10,1,shoulder,-0.9660667181015015,0.03705558180809021,small_up,-0.07393328189849857,0,follower_left,0.16666666666666666
-1.04,0.0008922219276428223,0.31874457001686096,-0.01897952146828175,0.315388560295105,10,1,shoulder,-0.9660667777061462,0.037054743617773056,small_up,-0.0739332222938538,0,follower_right,0.16666666666666666
-1.04,0.001119166612625122,-0.31895387172698975,-0.019020279869437218,0.31561553478240967,11,1,shoulder,-0.9673151969909668,0.048129741102457047,small_up,-0.07268480300903324,0,follower_left,0.18333333333333332
-1.04,0.0011191368103027344,0.31895387172698975,-0.018979704007506374,0.3156154751777649,11,1,shoulder,-0.9673152565956116,0.04813006520271301,small_up,-0.07268474340438846,0,follower_right,0.18333333333333332
-1.04,0.0013036727905273438,-0.31916141510009766,-0.019020091742277145,0.3158000409603119,12,1,shoulder,-0.9685395956039429,0.04235405847430229,small_up,-0.07146040439605716,0,follower_left,0.2
-1.04,0.0013036727905273438,0.3191615343093872,-0.01897993311285973,0.3158000111579895,12,1,shoulder,-0.9685395956039429,0.042354319244623184,small_up,-0.07146040439605716,0,follower_right,0.2
-1.04,0.0014705061912536621,-0.319389671087265,-0.019020026549696922,0.3159668743610382,13,1,shoulder,-0.9698876142501831,0.0513489805161953,small_up,-0.07011238574981693,0,follower_left,0.21666666666666667
-1.04,0.0014705657958984375,0.31938982009887695,-0.018980009481310848,0.3159669041633606,13,1,shoulder,-0.9698876738548279,0.05134832486510277,small_up,-0.07011232614517215,0,follower_right,0.21666666666666667
-1.04,0.001671910285949707,-0.3196263909339905,-0.019020134583115578,0.31616827845573425,14,1,shoulder,-0.9712958931922913,0.044219665229320526,small_up,-0.06870410680770878,0,follower_left,0.23333333333333334
-1.04,0.0016719400882720947,0.31962648034095764,-0.018979920074343685,0.31616827845573425,14,1,shoulder,-0.971295952796936,0.044219713658094406,small_up,-0.068704047203064,0,follower_right,0.23333333333333334
