physics_frame,physics_time_s,physics_dt_s,command_index,nominal_command_time_s,scheduler_phase_error_s,cycle,segment,target_arm_q,left_q,left_qd,right_q,right_qd,left_ee_position_world_m,left_ee_orientation_world_wxyz,contacts
0,0.016666666666666666,0.016666666666666666,0,0.0,0.0,0,initial_home_hold,"[0.0,-0.9599999785423279,1.159999966621399,0.0,-0.30000001192092896,0.0]","[1.982353387575131e-05,-0.9599494338035583,1.1612330675125122,0.0011463421396911144,-0.2956329584121704,-7.116815686458722e-05,1.4869071947032353e-06,0.02237038128077984,-0.02112041972577572]","[-9.565458458382636e-05,0.06051135063171387,-0.2244730293750763,-0.00364877562969923,-0.020312223583459854,-0.0001709229254629463,7.830328286217991e-06,3.863946858473355e-06,-1.2219778682265314e-06]","[2.190685881942045e-05,-0.9600194692611694,1.1624161005020142,0.001235027564689517,-0.29235097765922546,-9.312698239227757e-05,2.4769940409896662e-06,0.021871931850910187,-0.02009907178580761]","[-0.00019337955745868385,0.0882844626903534,-0.09114447236061096,0.007156943902373314,0.0754414051771164,1.1736410669982433e-06,5.116799002280459e-07,1.6103049347293563e-05,-0.00024304095131810755]","[-0.3177160620689392,-0.019020268693566322,0.31449198722839355]","[0.998887338547625,0.0005206001094842125,-0.04715714423601136,-0.00013271123772001304]",[]
1,0.03333333333333333,0.016666666666666666,0,0.0,0.016666666666666666,0,initial_home_hold,"[0.0,-0.9599999785423279,1.159999966621399,0.0,-0.30000001192092896,0.0]","[1.9150375010212883e-05,-0.959944486618042,1.1612308025360107,0.001141748740337789,-0.2956284284591675,-6.694133480777964e-05,1.7180575468955794e-06,0.022370168939232826,-0.021120747551321983]","[-9.679650247562677e-05,0.060961730778217316,-0.2248951941728592,-0.003642208408564329,-0.02035299688577652,-0.0001724321482470259,7.89837031334173e-06,3.89458500649198e-06,-1.2297557532292558e-06]","[2.389852306805551e-05,-0.9597629308700562,1.1630030870437622,0.0014422405511140823,-0.2867536246776581,-0.00010005859076045454,2.787064204312628e-06,0.021870940923690796,-0.020104434341192245]","[-0.0005171389784663916,0.09095285832881927,-0.19477103650569916,0.006178589072078466,-0.06270703673362732,-0.00047690054634585977,2.3444919861503877e-05,-8.523082942701876e-05,-0.00033111043740063906]","[-0.317715048789978,-0.01902027428150177,0.31449180841445923]","[0.998887503820592,0.0005204398366217886,-0.04715364590550756,-0.00013240566938180434]",[]
2,0.05,0.016666666666666666,1,0.02,0.013333333333333332,0,initial_home_hold,"[0.0,-0.9599999785423279,1.159999966621399,0.0,-0.30000001192092896,0.0]","[1.8570563042885624e-05,-0.9599484801292419,1.1612316370010376,0.001137781422585249,-0.29563042521476746,-6.332001794362441e-05,1.915944267238956e-06,0.022369956597685814,-0.021121075376868248]","[-9.72412817645818e-05,0.060402777045965195,-0.22466573119163513,-0.0036474938970059156,-0.020332662388682365,-0.00017211261729244143,7.882696081651375e-06,3.8896987462067045e-06,-1.2281553836146486e-06]","[2.5234538043150678e-05,-0.9598841071128845,1.1626511812210083,0.0016220557736232877,-0.288217157125473,-0.00010606241266941652,3.0515739126713015e-06,0.021867189556360245,-0.020112529397010803]","[-0.0004063765809405595,0.022656157612800598,-0.2993655800819397,0.0009866927284747362,-0.05515318736433983,-0.000464349752292037,2.1569874661508948e-05,1.1168827768415213e-05,-0.00027763895923271775]","[-0.3177158832550049,-0.01902025192975998,0.3144921660423279]","[0.998887385536945,0.0005203914073682341,-0.04715615298265199,-0.00013207507883882284]",[]
3,0.06666666666666667,0.016666666666666666,2,0.04,0.010000000000000002,0,initial_home_hold,"[0.0,-0.9599999785423279,1.159999966621399,0.0,-0.30000001192092896,0.0]","[1.807798253139481e-05,-0.9599456191062927,1.161230444908142,0.0011343014193698764,-0.2956353724002838,-6.02147301833611e-05,2.0852589841524605e-06,0.0223697442561388,-0.021121403202414513]","[-9.810979099711403e-05,0.06096918135881424,-0.22488100826740265,-0.003641227725893259,-0.020284458994865417,-0.00017321875202469528,7.934766472317278e-06,3.912802640115842e-06,-1.2343582511675777e-06]","[2.662460428837221e-05,-0.9599705338478088,1.161924958229065,0.0016824639169499278,-0.2897396683692932,-0.00011122810246888548,3.2802311125124106e-06,0.02186490222811699,-0.020119037479162216]","[-0.0002668263332452625,0.08024576306343079,-0.2128649801015854,-0.0011223244946449995,-0.14417538046836853,-0.000264549016719684,1.2388630239001941e-05,1.3346783816814423e-05,-0.00018892079242505133]","[-0.31771528720855713,-0.019020238891243935,0.31449249386787415]","[0.9988873119958153,0.0005202033181615337,-0.04715771359519441,-0.00013179816550008228]",[]
4,0.08333333333333333,0.016666666666666666,3,0.06,0.006666666666666668,0,initial_home_hold,"[0.0,-0.9599999785423279,1.159999966621399,0.0,-0.30000001192092896,0.0]","[1.7652708265814e-05,-0.9599478840827942,1.1612308025360107,0.0011313458671793342,-0.2956317663192749,-5.75533376832027e-05,2.2301421722659143e-06,0.02236953191459179,-0.021121731027960777]","[-9.850130300037563e-05,0.0604659840464592,-0.22452551126480103,-0.0036434531211853027,-0.020317761227488518,-0.00017315881268586963,7.927832484710962e-06,3.913957243639743e-06,-1.2341301953711081e-06]","[2.7670686904457398e-05,-0.9598922729492188,1.1626107692718506,0.0017521107802167535,-0.291132390499115,-0.00011551058560144156,3.4707877603068482e-06,0.021863169968128204,-0.020122183486819267]","[-0.0002896226360462606,0.05272487923502922,-0.19128333032131195,-0.00016780896112322807,-0.02143140323460102,-0.00048701715422794223,2.2482163331005722e-05,1.069295103661716e-05,-8.866266580298543e-05]","[-0.31771567463874817,-0.01902027055621147,0.31449249386787415]","[0.9988873498108488,0.0005200822266994504,-0.04715691461357089,-0.00013155403760797157]",[]
5,0.1,0.016666666666666666,4,0.08,0.003333333333333327,0,initial_home_hold,"[0.0,-0.9599999785423279,1.159999966621399,0.0,-0.30000001192092896,0.0]","[1.7292208212893456e-05,-0.9599458575248718,1.1612316370010376,0.0011288393288850784,-0.2956326901912689,-5.52705823793076e-05,2.354081971134292e-06,0.022369319573044777,-0.021122058853507042]","[-9.925729682436213e-05,0.060952674597501755,-0.22480891644954681,-0.003635274013504386,-0.020307254046201706,-0.000174253509612754,7.980276677699294e-06,3.937212113669375e-06,-1.240491201315308e-06]","[2.875192330975551e-05,-0.9598556756973267,1.1625590324401855,0.0018442441942170262,-0.29040640592575073,-0.00011916680523427203,3.6347237255540676e-06,0.021861374378204346,-0.02012532949447632]","[-0.0002834963088389486,0.07320337742567062,-0.24149256944656372,-0.0007648060563951731,-0.028214897960424423,-0.0004372256516944617,2.0211711671436206e-05,1.136620994657278e-05,-0.0001162957341875881]","[-0.3177153468132019,-0.01902027241885662,0.31449198722839355]","[0.998887398356137,0.0005200691938895467,-0.04715588695084833,-0.0001313743519879235]",[]
6,0.11666666666666667,0.016666666666666666,5,0.1,0.0,0,initial_home_hold,"[0.0,-0.9599999785423279,1.159999966621399,0.0,-0.30000001192092896,0.0]","[1.6980226064333692e-05,-0.959947407245636,1.1612310409545898,0.0011267407098785043,-0.2956286072731018,-5.3313753596739843e-05,2.4601588393124985e-06,0.022369107231497765,-0.021122386679053307]","[-9.941277676261961e-05,0.06048014387488365,-0.2246503233909607,-0.00364097417332232,-0.020345361903309822,-0.00017389492131769657,7.96282256487757e-06,3.932651452487335e-06,-1.2382744216665742e-06]","[2.9464657927746885e-05,-0.9599161148071289,1.1624231338500977,0.0019103760132566094,-0.29110249876976013,-0.00012231669097673148,3.7754609820694895e-06,0.021859463304281235,-0.020128576084971428]","[-0.0002516272070351988,0.04263494163751602,-0.23397968709468842,-0.0017179457936435938,-0.021754326298832893,-0.00040022959001362324,1.8347785953665152e-05,1.1771568097174168e-05,-9.533559205010533e-05]","[-0.31771552562713623,-0.01902025006711483,0.31449204683303833]","[0.9988874404655937,0.0005199612002403667,-0.04715499648856378,-0.0001312501759743116]",[]
7,0.13333333333333333,0.016666666666666666,5,0.1,0.016666666666666663,0,initial_home_hold,"[0.0,-0.9599999785423279,1.159999966621399,0.0,-0.30000001192092896,0.0]","[1.6716237951186486e-05,-0.9599465727806091,1.1612313985824585,0.0011248807422816753,-0.29563409090042114,-5.1634920964716e-05,2.55084592026833e-06,0.0223688967525959,-0.02112271450459957]","[-9.9930890428368e-05,0.06088392063975334,-0.22485776245594025,-0.003635913133621216,-0.020292045548558235,-0.00017462170217186213,7.99521785666002e-06,3.94804374082014e-06,-1.2428110949258553e-06]","[3.0258213882916607e-05,-0.9598948955535889,1.1624079942703247,0.001954214181751013,-0.2916640341281891,-0.00012502878962550312,3.897162059729453e-06,0.021858030930161476,-0.020131347700953484]","[-0.00022596129565499723,0.07216231524944305,-0.22817230224609375,-0.0020051151514053345,-0.01652468740940094,-0.0003551590780261904,1.6311161743942648e-05,1.2243341188877821e-05,-8.379097562283278e-05]","[-0.31771552562713623,-0.019020244479179382,0.3144921362400055]","[0.99888734097205,0.0005199164558294641,-0.04715710501696838,-0.00013106900883736561]",[]
8,0.15,0.016666666666666666,6,0.12,0.013333333333333336,0,initial_home_hold,"[0.0,-0.9599999785423279,1.159999966621399,0.0,-0.30000001192092896,0.0]","[1.648761099204421e-05,-0.9599466919898987,1.1612306833267212,0.001123290043324232,-0.2956315577030182,-5.019541276851669e-05,2.6284330942871748e-06,0.02236868627369404,-0.021123042330145836]","[-0.00010006783850258216,0.06054464355111122,-0.224626824259758,-0.003639525268226862,-0.020316138863563538,-0.00017445273988414556,7.98750261310488e-06,3.946415290556615e-06,-1.2422996178429457e-06]","[3.079868110944517e-05,-0.9599013924598694,1.1624633073806763,0.001998205203562975,-0.291253924369812,-0.00012733355106320232,4.001044999313308e-06,0.021856829524040222,-0.020134130492806435]","[-0.00022016343427821994,0.05445446819067001,-0.20972682535648346,-0.0021003347355872393,-0.020365245640277863,-0.0003215393517166376,1.4812377230555285e-05,1.2618751497939229e-05,-9.537913138046861e-05]","[-0.31771552562713623,-0.019020264968276024,0.31449228525161743]","[0.9988873869158613,0.0005198084294483728,-0.04715613335532593,-0.00013094492642147813]",[]
9,0.16666666666666666,0.016666666666666666,7,0.14,0.009999999999999981,0,initial_home_hold,"[0.0,-0.9599999785423279,1.159999966621399,0.0,-0.30000001192092896,0.0]","[1.6294299712171778e-05,-0.9599471688270569,1.1612319946289062,0.0011219312436878681,-0.2956327497959137,-4.8959664127323776e-05,2.69474230663036e-06,0.022368475794792175,-0.0211233701556921]","[-0.0001004606529022567,0.06084410101175308,-0.22478149831295013,-0.0036349932197481394,-0.020303921774029732,-0.00017498130910098553,8.011904355953448e-06,3.958406978199491e-06,-1.2455834621505346e-06]","[3.138541796943173e-05,-0.959875226020813,1.162524700164795,0.0020432129967957735,-0.29104214906692505,-0.00012930974480696023,4.089759841008345e-06,0.02185562252998352,-0.02013697475194931]","[-0.0002229888632427901,0.06883261352777481,-0.2282874882221222,-0.002063802909106016,-0.02233317494392395,-0.00032106778235174716,1.478399099141825e-05,1.2609991244971752e-05,-0.00010092189768329263]","[-0.3177156150341034,-0.019020231440663338,0.31449195742607117]","[0.9988873783295011,0.0005198047393289276,-0.04715631535998237,-0.00013091492922753535]",[]
