robot,source_index,name,type,parent,child,axis,origin_xyz,origin_rpy,lower,upper,effort,velocity,mimic_parent,mimic_multiplier,mimic_offset
follower_left,0,waist,revolute,follower_left_base_link,follower_left_shoulder_link,0 0 1,0 0 0.079,0 0 0,-3.141582653589793,3.141582653589793,10.0,3.141592653589793,,,
follower_left,1,shoulder,revolute,follower_left_shoulder_link,follower_left_upper_arm_link,0 1 0,0 0 0.04805,0 0 0,-1.8500490071139892,1.2566370614359172,20.0,3.141592653589793,,,
follower_left,2,elbow,revolute,follower_left_upper_arm_link,follower_left_upper_forearm_link,0 1 0,0.05955 0 0.3,0 0 0,-1.7627825445142729,1.6057029118347832,15.0,3.141592653589793,,,
follower_left,3,forearm_roll,revolute,follower_left_upper_forearm_link,follower_left_lower_forearm_link,1 0 0,0.2 0 0,0 0 0,-3.141582653589793,3.141582653589793,2.0,3.141592653589793,,,
follower_left,4,wrist_angle,revolute,follower_left_lower_forearm_link,follower_left_wrist_link,0 1 0,0.1 0 0,0 0 0,-1.8675022996339325,2.234021442552742,5.0,3.141592653589793,,,
follower_left,5,wrist_rotate,revolute,follower_left_wrist_link,follower_left_gripper_link,1 0 0,0.069744 0 0,0 0 0,-3.141582653589793,3.141582653589793,1.0,3.141592653589793,,,
follower_left,6,ee_arm,fixed,follower_left_gripper_link,follower_left_ee_arm_link,1 0 0,0.042825 0 0,0 0 0,,,,,,,
follower_left,7,gripper,continuous,follower_left_ee_arm_link,follower_left_gripper_prop_link,1 0 0,0.005675 0 0,0 0 0,,,1.0,3.141592653589793,,,
follower_left,8,gripper_bar,fixed,follower_left_ee_arm_link,follower_left_gripper_bar_link,1 0 0,0 0 0,0 0 0,,,,,,,
follower_left,9,ee_bar,fixed,follower_left_gripper_bar_link,follower_left_fingers_link,1 0 0,0.025875 0 0,0 0 0,,,,,,,
follower_left,10,left_finger,prismatic,follower_left_fingers_link,follower_left_left_finger_link,0 1 0,0 0 0,0 0 0,0.021,0.057,5.0,1.0,,,
follower_left,11,right_finger,prismatic,follower_left_fingers_link,follower_left_right_finger_link,0 1 0,0 0 0,0 0 0,-0.057,-0.021,5.0,1.0,left_finger,-1.0,0.0
follower_left,12,ee_gripper,fixed,follower_left_fingers_link,follower_left_ee_gripper_link,1 0 0,0.0385 0 0,0 0 0,,,,,,,
