repo_id,episodes,frames,deployed_run_weight,current_code_weight,task_type,categories
lyl472324464/2026-05-11_free-spinning-lerobot-without-rinse-merged-adjust-pickup,111,24735,5,15,short_unconditional_unscrew,free_spinning_named
lyl472324464/2025-09-15-twist-one-bottle-no-box-in-the-front-without-rinse-merged-adjust-pickup,98,55356,1,1,short_unconditional_unscrew,
lyl472324464/2025-12-10-twist-one-bottle-merged-adjust-pickup,19,23142,1,1,conditional_on_cap_presence,
lyl472324464/2025-12-23-twist-one-bottle-without-rinse-merged-adjust-pickup,91,122038,1,1,short_unconditional_unscrew,
lyl472324464/2026-01-20-twist-one-bottle-merged-adjust-pickup,32,40172,1,1,long_but_unconditional_cap_step,
lyl472324464/2026-02-03-no-cap-and-direction-without-rinse-merged-adjust-pickup,12,70849,1,1,short_unconditional_unscrew,no_cap_named|direction_named
lyl472324464/2026-03-04-one-direction-lerobot-without-rinse-merged-adjust-pickup,32,48111,1,1,short_unconditional_unscrew,direction_named
lyl472324464/2026.03.12_one_have_cap-lerobot-without-rinse-merged-adjust-pickup,16,21164,1,1,short_unconditional_unscrew,
lyl472324464/2026.03.12_one_have_cap_direction-lerobot-without-rinse-merged-adjust-pickup,15,22994,1,1,short_unconditional_unscrew,direction_named
lyl472324464/2026-03-12-one-havent-cap-merged-adjust-pickup,15,7217,1,1,long_but_unconditional_cap_step,no_cap_named
lyl472324464/2026-03-12-one-havent-cap-direction-merged-adjust-pickup,15,9051,1,1,long_but_unconditional_cap_step,no_cap_named|direction_named
lyl472324464/2026-04-21_direction-lerobot-without-rinse-merged-adjust-pickup,104,61435,1,1,short_unconditional_unscrew,direction_named
lyl472324464/2026-04-21_direction_2-lerobot-without-rinse-merged-adjust-pickup,61,31777,1,1,short_unconditional_unscrew,direction_named
lyl472324464/2026-04-21_direction_haven-t_cap-lerobot-without-rinse-merged-adjust-pickup,29,12025,1,1,short_unconditional_unscrew,no_cap_named|direction_named
lyl472324464/2026-04-21_direction_havent_cap_water-lerobot-without-rinse-merged-adjust-pickup,26,11666,1,1,long_but_unconditional_cap_step,no_cap_named|direction_named|water_named
lyl472324464/2026-04-23_direction_havent_cap_water-lerobot-without-rinse-merged-adjust-pickup,61,26859,1,1,short_unconditional_unscrew,no_cap_named|direction_named|water_named
lyl472324464/2026-04-28_direction_have_cap_water-lerobot-without-rinse-merged-adjust-pickup,27,31252,1,1,short_unconditional_unscrew,direction_named|water_named
lyl472324464/2026-04-28_direction_have_cap_water2-lerobot-without-rinse-merged-adjust-pickup,22,24288,1,1,short_unconditional_unscrew,direction_named|water_named
lyl472324464/2026-05-11_cap-lerobot-without-rinse-merged-adjust-pickup,3,19708,1,1,short_unconditional_unscrew,
lyl472324464/2026-05-11_twist-lerobot-truncated-return-home-exp-truncated-return-home-20260520-095140,45,52398,1,1,short_unconditional_unscrew,return_home_named
lyl472324464/2026-05-12_twist-lerobot-truncated-return-home-exp-truncated-return-home-20260520-095140,57,70749,1,1,short_unconditional_unscrew,return_home_named
lyl472324464/2026-05-12_twist2-lerobot-truncated-return-home-exp-truncated-return-home-20260520-095140,33,38823,1,1,short_unconditional_unscrew,return_home_named
lyl472324464/2026-05-04_turn_over-lerobot-without-rinse,45,21787,1,5,short_unconditional_unscrew,turn_over_named
lyl472324464/2026-05-03_turn_over-lerobot-without-rinse,68,27061,1,5,short_unconditional_unscrew,turn_over_named
lyl472324464/2026-05-01_turn_over-lerobot-without-rinse,14,5195,1,5,short_unconditional_unscrew,turn_over_named
