episode_index,trimmed_frames
0,239
1,381
2,201
3,351
4,257
5,225
6,338
7,372
8,270
9,409
10,278
11,293
12,342
13,242
14,337
15,493
16,309
17,457
18,313
19,258
20,210
21,370
22,288
23,236
24,317
25,319
26,472
27,270
28,413
29,288
30,269
31,326
32,327
33,311
34,352
35,319
36,259
37,212
38,366
39,341
40,227
41,382
42,184
43,279
44,251
45,226
46,250
47,448
48,320
49,365
50,324
51,238
52,269
53,366
54,401
55,213
56,219
57,228
58,223
59,491
60,236
61,425
62,335
63,210
64,215
65,229
66,479
67,274
68,408
69,282
70,383
71,354
72,263
73,364
74,304
75,358
76,243
77,235
78,254
79,309
80,332
81,425
82,459
83,295
84,318
85,315
86,195
87,256
88,211
89,264
90,186
91,231
92,321
93,214
94,219
95,325
96,439
97,263
98,175
99,318
100,322
101,307
102,268
103,257
104,303
105,270
106,341
107,239
108,385
109,245
110,225
111,288
112,332
113,271
114,236
115,432
116,361
117,250
118,550
119,362
120,298
121,442
122,395
123,638
124,346
125,311
126,306
127,259
128,318
129,403
130,396
131,347
132,376
133,386
134,362
135,313
136,343
137,319
138,313
139,508
140,283
141,302
142,373
143,328
144,299
145,384
146,394
147,266
148,303
149,261
150,452
151,214
152,188
153,364
154,422
155,411
156,249
157,320
158,250
159,334
160,399
161,331
162,287
163,428
164,429
165,440
166,379
167,333
168,326
169,488
170,375
171,341
172,435
173,246
174,465
175,607
176,363
177,616
178,338
179,404
180,408
181,393
182,271
183,338
184,717
185,431
186,321
187,314
188,309
189,342
190,359
191,304
192,563
193,315
194,139
195,248
196,268
197,259
198,196
199,308
200,348
201,278
202,336
203,372
204,271
205,227
206,312
207,242
208,188
209,243
210,211
211,171
212,449
213,410
214,305
215,332
216,270
217,276
218,555
219,467
220,302
221,213
222,267
223,223
224,375
225,290
226,320
227,214
228,262
229,281
230,375
231,381
232,251
233,341
234,708
235,263
236,350
237,328
238,289
239,299
240,393
241,350
242,336
243,336
244,305
245,267
246,220
247,253
248,480
249,290
250,462
251,315
252,303
253,359
254,409
255,368
256,333
257,418
258,291
259,435
260,367
261,333
262,211
263,308
264,439
265,240
266,451
267,377
268,350
269,454
270,305
271,475
272,229
273,325
274,457
275,239
276,285
277,214
278,444
279,224
280,175
281,241
282,243
283,319
284,329
285,504
286,500
287,243
288,353
289,866
290,364
291,449
292,317
293,275
294,355
295,232
296,198
297,351
298,467
299,229
300,453
301,327
302,405
303,247
304,276
305,332
306,258
307,295
308,329
309,334
310,297
311,301
312,220
313,327
314,379
315,312
316,278
317,312
318,370
319,274
320,260
321,222
322,477
323,284
324,218
325,529
326,357
327,331
328,327
329,354
330,428
331,236
332,211
333,175
334,491
335,393
336,436
337,350
338,392
339,472
340,403
341,284
342,554
343,302
344,310
345,304
346,278
347,293
348,252
349,359
350,357
351,432
352,352
353,357
354,349
355,320
356,425
357,435
358,452
359,379
360,304
361,387
362,319
363,324
364,465
365,483
366,275
367,278
368,259
369,392
370,336
371,358
372,360
373,323
374,461
375,374
376,320
377,324
378,337
379,252
380,270
381,376
382,191
383,567
384,408
385,523
386,354
387,354
388,316
389,264
390,427
391,245
392,276
393,353
394,311
395,409
396,339
397,1460
398,290
399,416
400,346
401,361
402,266
403,252
404,242
405,252
406,282
407,336
408,263
409,258
410,263
411,274
412,210
413,156
414,225
415,294
416,289
417,268
418,223
419,259
420,139
421,158
422,331
423,158
424,254
425,237
426,247
427,121
428,180
429,234
430,268
431,191
432,221
433,235
434,220
435,329
436,226
437,203
438,248
439,219
440,297
441,284
442,301
443,291
444,237
445,292
446,334
447,276
448,245
449,234
450,247
451,239
452,261
453,571
454,282
455,240
456,237
457,270
458,171
459,237
460,249
461,284
462,226
463,250
464,218
465,265
466,230
467,225
468,199
469,223
470,216
471,205
472,219
473,223
474,287
475,246
476,231
477,292
478,274
479,185
480,265
481,218
482,238
483,274
484,1073
485,257
486,318
487,219
488,303
489,256
490,286
491,303
492,261
493,371
494,280
495,333
496,271
497,281
498,350
499,1047
500,614
501,264
502,320
503,285
504,349
505,210
506,279
507,329
508,319
509,348
510,291
511,437
512,354
513,379
514,343
515,375
516,328
517,404
518,309
519,348
520,424
521,441
522,353
523,377
524,280
525,384
526,294
527,332
528,313
529,462
530,360
531,872
532,447
533,314
534,419
535,455
536,472
537,401
538,412
539,373
540,737
541,474
542,388
543,434
544,493
545,348
546,765
547,433
548,445
549,393
550,414
551,383
552,371
553,340
554,427
555,399
556,404
557,654
558,590
559,397
560,580
561,405
562,385
563,429
564,445
565,384
566,542
567,407
568,459
569,317
570,314
571,483
572,486
573,541
574,324
575,385
576,472
577,335
578,312
579,507
580,276
581,349
582,311
583,415
584,362
585,372
586,390
587,408
588,360
589,1040
590,417
591,530
592,437
593,410
594,615
595,440
596,494
597,467
598,417
599,430
600,360
601,571
