actor_grad_norm,actor_loss,batch_in_epoch,batch_size,critic_grad_norm,critic_loss,critic_loss_unweighted,epoch,local_step,q1,reference_deviation_abs_max,reference_deviation_abs_mean,reference_deviation_penalty,reference_deviation_penalty_coef,reference_deviation_penalty_w,rl_loss,rl_loss_w,step,target_q_clip
0.05454,-0.418466,0.0,256.0,18.847452,1.956857,1.956857,0.0,0.0,,1.47189,0.108348,0.015677,10.0,0.156773,-0.57524,-0.57524,0.0,
,,1.0,256.0,,2.010684,2.010684,0.0,1.0,0.537944,,,,,,,,1.0,0.328125
0.061441,-0.207978,2.0,256.0,17.017878,2.061164,2.061164,0.0,2.0,,1.850799,0.128984,0.029187,10.0,0.291871,-0.499849,-0.499849,2.0,
,,3.0,256.0,,1.993664,1.993664,0.0,3.0,0.524875,,,,,,,,3.0,0.335938
0.0545,-0.2489,4.0,256.0,10.516274,1.999281,1.999281,0.0,4.0,,1.640883,0.121003,0.024405,10.0,0.244053,-0.492953,-0.492953,4.0,
,,5.0,256.0,,2.100854,2.100854,0.0,5.0,0.531687,,,,,,,,5.0,0.316406
0.050761,-0.212908,6.0,256.0,14.512135,2.195036,2.195036,0.0,6.0,,1.443558,0.131435,0.029597,10.0,0.295968,-0.508876,-0.508876,6.0,
,,7.0,256.0,,1.965615,1.965615,0.0,7.0,0.523609,,,,,,,,7.0,0.320312
0.045649,-0.201572,8.0,256.0,14.833173,2.022852,2.022852,0.0,8.0,,2.507065,0.131455,0.031751,10.0,0.317509,-0.519081,-0.519081,8.0,
,,9.0,256.0,,2.478604,2.478604,0.0,9.0,0.523661,,,,,,,,9.0,0.277344
0.047493,-0.321978,10.0,256.0,26.239054,1.902599,1.902599,0.0,10.0,,1.654141,0.11943,0.022315,10.0,0.223147,-0.545125,-0.545125,10.0,
,,11.0,256.0,,2.309223,2.309223,0.0,11.0,0.518153,,,,,,,,11.0,0.304688
0.049535,-0.269056,12.0,256.0,17.560715,2.098907,2.098907,0.0,12.0,,1.975406,0.120268,0.022224,10.0,0.222235,-0.491291,-0.491291,12.0,
,,13.0,256.0,,1.933336,1.933336,0.0,13.0,0.468011,,,,,,,,13.0,0.320312
0.043686,-0.169651,14.0,256.0,23.191784,2.276403,2.276403,0.0,14.0,,1.84761,0.129672,0.030434,10.0,0.304336,-0.473987,-0.473987,14.0,
,,15.0,256.0,,2.385477,2.385477,0.0,15.0,0.511302,,,,,,,,15.0,0.296875
0.05457,-0.261387,16.0,256.0,15.148772,1.725893,1.725893,0.0,16.0,,1.459092,0.121468,0.024881,10.0,0.248813,-0.5102,-0.5102,16.0,
,,17.0,256.0,,2.212388,2.212388,0.0,17.0,0.554727,,,,,,,,17.0,0.320312
0.045549,-0.18597,18.0,256.0,32.164604,2.026429,2.026429,0.0,18.0,,1.913438,0.126847,0.027528,10.0,0.27528,-0.46125,-0.46125,18.0,
,,19.0,256.0,,2.052703,2.052703,0.0,19.0,0.540292,,,,,,,,19.0,0.339844
0.066317,-0.039563,20.0,256.0,19.069729,1.990147,1.990147,0.0,20.0,,6.066353,0.132461,0.041777,10.0,0.417773,-0.457336,-0.457336,20.0,
,,21.0,256.0,,2.178771,2.178771,0.0,21.0,0.512988,,,,,,,,21.0,0.3125
0.054347,-0.206468,22.0,256.0,22.289356,2.146056,2.146056,0.0,22.0,,1.584629,0.126767,0.028133,10.0,0.281328,-0.487795,-0.487795,22.0,
,,23.0,256.0,,2.311755,2.311755,0.0,23.0,0.564237,,,,,,,,23.0,0.371094
0.041474,-0.093543,24.0,256.0,19.689054,1.985443,1.985443,0.0,24.0,,2.877271,0.134686,0.035043,10.0,0.350432,-0.443974,-0.443974,24.0,
,,25.0,256.0,,2.203045,2.203045,0.0,25.0,0.51671,,,,,,,,25.0,0.296875
0.052359,-0.368271,26.0,256.0,17.643763,2.191231,2.191231,0.0,26.0,,1.430034,0.109873,0.015729,10.0,0.157288,-0.525559,-0.525559,26.0,
,,27.0,256.0,,2.453528,2.453528,0.0,27.0,0.555396,,,,,,,,27.0,0.324219
0.041989,-0.281957,28.0,256.0,18.254166,2.285484,2.285484,0.0,28.0,,1.621779,0.117417,0.021402,10.0,0.21402,-0.495977,-0.495977,28.0,
,,29.0,256.0,,2.160973,2.160973,0.0,29.0,0.518785,,,,,,,,29.0,0.292969
0.053415,-0.273762,30.0,256.0,17.753172,2.263214,2.263214,0.0,30.0,,1.496478,0.118771,0.022033,10.0,0.220328,-0.49409,-0.49409,30.0,
,,31.0,256.0,,2.300683,2.300683,0.0,31.0,0.502173,,,,,,,,31.0,0.292969
0.048577,-0.147581,32.0,256.0,8.477373,2.042484,2.042484,0.0,32.0,,3.508822,0.131261,0.030958,10.0,0.309577,-0.457158,-0.457158,32.0,
,,33.0,256.0,,2.282092,2.282092,0.0,33.0,0.507938,,,,,,,,33.0,0.285156
0.067054,-0.287773,34.0,256.0,22.009895,2.213733,2.213733,0.0,34.0,,2.672997,0.124042,0.025398,10.0,0.253984,-0.541757,-0.541757,34.0,
,,35.0,256.0,,2.15025,2.15025,0.0,35.0,0.542257,,,,,,,,35.0,0.285156
0.058431,-0.287207,36.0,256.0,19.257648,2.145969,2.145969,0.0,36.0,,2.472526,0.115138,0.021012,10.0,0.210115,-0.497322,-0.497322,36.0,
,,37.0,256.0,,2.254077,2.254077,0.0,37.0,0.459273,,,,,,,,37.0,0.265625
0.067232,-0.179482,38.0,256.0,38.290707,2.529947,2.529947,0.0,38.0,,4.327471,0.124871,0.028669,10.0,0.286686,-0.466168,-0.466168,38.0,
,,39.0,256.0,,2.017201,2.017201,0.0,39.0,0.599184,,,,,,,,39.0,0.347656
0.068707,-0.229223,40.0,256.0,17.894854,2.01325,2.01325,0.0,40.0,,2.893089,0.122293,0.025838,10.0,0.258382,-0.487605,-0.487605,40.0,
,,41.0,256.0,,2.293438,2.293438,0.0,41.0,0.528093,,,,,,,,41.0,0.300781
0.043952,-0.108375,42.0,256.0,10.833656,2.03088,2.03088,0.0,42.0,,6.086817,0.128539,0.035056,10.0,0.35056,-0.458935,-0.458935,42.0,
,,43.0,256.0,,2.204449,2.204449,0.0,43.0,0.513497,,,,,,,,43.0,0.289062
0.060479,-0.236222,44.0,256.0,15.302711,2.317845,2.317845,0.0,44.0,,1.746578,0.124415,0.02485,10.0,0.2485,-0.484721,-0.484721,44.0,
,,45.0,256.0,,1.779416,1.779416,0.0,45.0,0.510399,,,,,,,,45.0,0.316406
0.052997,-0.27964,46.0,256.0,15.043961,1.996919,1.996919,0.0,46.0,,1.415578,0.123261,0.024705,10.0,0.247053,-0.526694,-0.526694,46.0,
,,47.0,256.0,,1.964309,1.964309,0.0,47.0,0.488483,,,,,,,,47.0,0.28125
0.044635,-0.288013,48.0,256.0,24.224941,1.981706,1.981706,0.0,48.0,,1.583208,0.122809,0.024856,10.0,0.248564,-0.536578,-0.536578,48.0,
,,49.0,256.0,,2.131866,2.131866,0.0,49.0,0.542677,,,,,,,,49.0,0.3125
0.050237,-0.130471,50.0,256.0,17.608332,2.222075,2.222075,0.0,50.0,,4.416814,0.12941,0.035396,10.0,0.353963,-0.484434,-0.484434,50.0,
,,51.0,256.0,,1.871598,1.871598,0.0,51.0,0.574115,,,,,,,,51.0,0.351562
0.047058,-0.175225,52.0,256.0,25.61883,2.311341,2.311341,0.0,52.0,,1.605666,0.125434,0.025958,10.0,0.259576,-0.434801,-0.434801,52.0,
,,53.0,256.0,,1.854486,1.854486,0.0,53.0,0.478458,,,,,,,,53.0,0.304688
0.047206,-0.268248,54.0,256.0,19.205597,2.090163,2.090163,0.0,54.0,,1.550925,0.122672,0.024574,10.0,0.245744,-0.513992,-0.513992,54.0,
,,55.0,256.0,,2.275343,2.275343,0.0,55.0,0.542735,,,,,,,,55.0,0.273438
0.082599,-0.227973,56.0,256.0,17.207254,1.94867,1.94867,0.0,56.0,,1.754457,0.121596,0.024776,10.0,0.247757,-0.47573,-0.47573,56.0,
,,57.0,256.0,,2.226333,2.226333,0.0,57.0,0.482623,,,,,,,,57.0,0.300781
