id,name,config_name,family,created_at,state,last_step,batch_size,seed,summary_loss
y3q0mik6,pi05-twist-100k-train-action-true-no-fast-bs4-save1000-20260422-015401,twist_only_lora_triplet_100k_no_fast_action_tokens,baseline_bottle_sorting,2026-04-22T01:54:06Z,crashed,11150,4,42,0.5480607151985168
ujoccc65,pi05-twist-100k-fast-action-scale1-bs4-save1000-20260423-023949,twist_only_lora_triplet_100k_fast_action_tokens_scale1,baseline_bottle_sorting,2026-04-23T02:40:00Z,crashed,1160,4,42,7.3521409034729
h9xc8lmk,pi05-twist-100k-fast-action-scale1-bs8-ga1-wandb-restart-save1000-20260423-055040,twist_only_lora_triplet_100k_fast_action_tokens_scale1,baseline_bottle_sorting,2026-04-23T05:50:51Z,crashed,11200,8,42,4.468005180358887
sbjto6bh,rinse_bottle_cam4_f6s4_bs64_20260428,eii_rinse_cam4_lora,rinse_or_insertion_exploration,2026-04-28T14:25:23Z,crashed,7710,32,42,0.007922179996967316
w6iszlf5,h200_fullft_13repos_bs128_nw8_f6_s5_log1_20260430_082915,eii_rinse_cam4_lora,rinse_or_insertion_exploration,2026-04-30T08:29:24Z,crashed,-1,128,42,
alxhdblm,h200_fullft_13repos_bs128_nw8_f6_s5_log1_20260430_083003,eii_rinse_cam4_lora,rinse_or_insertion_exploration,2026-04-30T08:30:12Z,finished,7,128,42,0.14955194294452667
e68ok9xu,h200_fullft_13repos_bs256_nw8_f6_s5_log1_20260430_084618,eii_rinse_cam4_lora,rinse_or_insertion_exploration,2026-04-30T08:46:28Z,finished,7,256,42,0.09565803408622742
qbm97ykn,h200_fullft_13repos_bs128_nw16_f6_s5_log10_20260430_085556,eii_rinse_cam4_lora,rinse_or_insertion_exploration,2026-04-30T08:56:05Z,crashed,10660,128,42,0.005038553383201361
j81dvx7o,pro6000_fullft_13repos_bs128_nw16_f6_s5_log1_20260501,eii_rinse_cam4_lora,rinse_or_insertion_exploration,2026-05-01T03:09:56Z,crashed,-1,128,42,
lx6v24pv,pro6000_fullft_1repo_bs128_nw16_f6_s5_log1_20260501,eii_rinse_cam4_lora,rinse_or_insertion_exploration,2026-05-01T03:14:32Z,crashed,-1,128,42,
g81wswdd,pro6000_fullft_1repo_bs128_nw16_f6_s5_log1_1gpu_20260501,eii_rinse_cam4_lora,rinse_or_insertion_exploration,2026-05-01T03:20:41Z,crashed,-1,128,42,
rt5tie9r,pro6000_fullft_1repo_bs128_nw16_f6_s5_log1_cuda0_20260501,eii_rinse_cam4_lora,rinse_or_insertion_exploration,2026-05-01T03:23:17Z,failed,0,128,42,
cxg5ik7w,twist_rinse_lora_triplet_remote_20260501_0524,twist_rinse_lora_triplet_remote,rinse_or_insertion_exploration,2026-05-01T05:22:56Z,crashed,90,32,42,1.2474571466445925
tv5ujqy3,twist_direction_full_ft_bs256_8xh200,twist_direction_full_finetune_triplet_27_datasets,baseline_bottle_sorting,2026-05-02T14:02:07Z,crashed,-1,256,42,
3t59co93,twist_direction_full_ft_bs256_8xh200_fsdp8,twist_direction_full_finetune_triplet_27_datasets,baseline_bottle_sorting,2026-05-02T14:04:30Z,crashed,10,256,42,1.2940996885299685
ph0lrdqu,twist_direction_full_ft_bs256_8xh200_fsdp8_nw32,twist_direction_full_finetune_triplet_27_datasets,baseline_bottle_sorting,2026-05-02T14:11:17Z,failed,28000,256,42,0.07219026237726212
w8za36n4,rinse_lora_6repo_cam4_bs32_20260506,eii_rinse_cam4_lora,rinse_or_insertion_exploration,2026-05-06T12:57:07Z,crashed,-1,32,42,
1hh98ega,rinse_lora_6repo_cam4_bs32_log10_20260506,eii_rinse_cam4_lora,rinse_or_insertion_exploration,2026-05-06T13:01:56Z,crashed,-1,32,42,
8raql7zk,rinse_lora_6repo_cam4_bs32_log10_20260506,eii_rinse_cam4_lora,rinse_or_insertion_exploration,2026-05-06T13:03:11Z,crashed,-1,32,42,
14m6s752,rinse_lora_6repo_cam4_bs32_log10_20260506,eii_rinse_cam4_lora,rinse_or_insertion_exploration,2026-05-06T13:06:19Z,failed,-1,32,42,
