actor_grad_norm,actor_loss,batch_in_epoch,batch_size,critic_grad_norm,critic_loss,critic_loss_unweighted,epoch,local_step,q1,reference_deviation_abs_max,reference_deviation_abs_mean,reference_deviation_penalty,reference_deviation_penalty_coef,reference_deviation_penalty_w,rl_loss,rl_loss_w,step,target_q_clip
0.051326,-0.128535,0.0,256.0,23.183853,2.142456,2.142456,0.0,0.0,,8.701662,0.121876,0.039335,10.0,0.393354,-0.521889,-0.521889,0.0,
,,1.0,256.0,,2.533295,2.533295,0.0,1.0,0.50815,,,,,,,,1.0,0.289062
0.03471,-0.220661,2.0,256.0,17.192057,2.379747,2.379747,0.0,2.0,,1.758042,0.124126,0.026621,10.0,0.266215,-0.486876,-0.486876,2.0,
,,3.0,256.0,,2.412976,2.412976,0.0,3.0,0.50904,,,,,,,,3.0,0.332031
0.047173,-0.367079,4.0,256.0,15.045749,2.033684,2.033684,0.0,4.0,,1.493439,0.112536,0.017437,10.0,0.17437,-0.541449,-0.541449,4.0,
,,5.0,256.0,,2.216171,2.216171,0.0,5.0,0.531145,,,,,,,,5.0,0.339844
0.040353,-0.212012,6.0,256.0,19.95788,2.170486,2.170486,0.0,6.0,,1.791739,0.127035,0.028238,10.0,0.28238,-0.494392,-0.494392,6.0,
,,7.0,256.0,,2.248733,2.248733,0.0,7.0,0.500501,,,,,,,,7.0,0.296875
0.037252,-0.339418,8.0,256.0,22.011021,2.374817,2.374817,0.0,8.0,,1.635934,0.112255,0.018116,10.0,0.181163,-0.520581,-0.520581,8.0,
,,9.0,256.0,,2.323059,2.323059,0.0,9.0,0.510545,,,,,,,,9.0,0.261719
0.048585,-0.17071,10.0,256.0,20.834753,2.061606,2.061606,0.0,10.0,,1.87133,0.127003,0.030107,10.0,0.301073,-0.471783,-0.471783,10.0,
,,11.0,256.0,,2.533868,2.533868,0.0,11.0,0.483344,,,,,,,,11.0,0.257812
0.072384,-0.314972,12.0,256.0,25.227396,2.02432,2.02432,0.0,12.0,,1.430103,0.119476,0.022228,10.0,0.222279,-0.537251,-0.537251,12.0,
,,13.0,256.0,,2.180998,2.180998,0.0,13.0,0.476019,,,,,,,,13.0,0.25
0.032541,-0.197546,14.0,256.0,27.178322,2.124094,2.124094,0.0,14.0,,3.519816,0.124786,0.02866,10.0,0.286597,-0.484144,-0.484144,14.0,
,,15.0,256.0,,2.151963,2.151963,0.0,15.0,0.508206,,,,,,,,15.0,0.316406
0.071912,-0.280029,16.0,256.0,48.519966,2.175372,2.175372,0.0,16.0,,2.502508,0.119709,0.025047,10.0,0.250469,-0.530498,-0.530498,16.0,
,,17.0,256.0,,2.199374,2.199374,0.0,17.0,0.545158,,,,,,,,17.0,0.332031
0.04169,-0.271868,18.0,256.0,37.085487,2.678168,2.678168,0.0,18.0,,2.227386,0.111912,0.019597,10.0,0.195973,-0.467841,-0.467841,18.0,
,,19.0,256.0,,2.085282,2.085282,0.0,19.0,0.580149,,,,,,,,19.0,0.339844
0.045732,-0.288844,20.0,256.0,33.576443,2.478099,2.478099,0.0,20.0,,1.549905,0.114736,0.019917,10.0,0.199166,-0.488009,-0.488009,20.0,
,,21.0,256.0,,2.121673,2.121673,0.0,21.0,0.467381,,,,,,,,21.0,0.320312
0.043058,-0.247152,22.0,256.0,28.061581,2.019453,2.019453,0.0,22.0,,1.685303,0.126173,0.028105,10.0,0.281048,-0.5282,-0.5282,22.0,
,,23.0,256.0,,2.077364,2.077364,0.0,23.0,0.586461,,,,,,,,23.0,0.339844
0.048586,-0.221199,24.0,256.0,20.903521,2.114549,2.114549,0.0,24.0,,2.633765,0.125611,0.028664,10.0,0.286637,-0.507836,-0.507836,24.0,
,,25.0,256.0,,1.8037,1.8037,0.0,25.0,0.513253,,,,,,,,25.0,0.355469
0.047444,-0.298188,26.0,256.0,27.072763,2.350667,2.350667,0.0,26.0,,1.583671,0.114962,0.020245,10.0,0.202451,-0.500638,-0.500638,26.0,
,,27.0,256.0,,1.849591,1.849591,0.0,27.0,0.561738,,,,,,,,27.0,0.347656
0.036489,-0.309198,28.0,256.0,14.04561,1.818931,1.818931,0.0,28.0,,1.381917,0.120362,0.022637,10.0,0.226372,-0.53557,-0.53557,28.0,
,,29.0,256.0,,2.314516,2.314516,0.0,29.0,0.564082,,,,,,,,29.0,0.289062
0.045866,-0.164498,30.0,256.0,19.628977,2.039148,2.039148,0.0,30.0,,1.679248,0.129826,0.031839,10.0,0.318391,-0.482889,-0.482889,30.0,
,,31.0,256.0,,2.047142,2.047142,0.0,31.0,0.525132,,,,,,,,31.0,0.328125
